Percentile,Latency_ns
p50,907
p99,3090
p999,13341

Bucket_Lower_ns,Bucket_Upper_ns,Count
0,10,0
10,20,0
20,30,0
30,40,0
40,50,0
50,60,0
60,70,0
70,80,0
80,90,0
90,100,0
100,110,0
110,120,0
120,130,0
130,140,0
140,150,0
150,160,0
160,170,0
170,180,0
180,190,0
190,200,0
200,210,0
210,220,0
220,230,0
230,240,0
240,250,0
250,260,0
260,270,0
270,280,0
280,290,0
290,300,0
300,310,0
310,320,0
320,330,0
330,340,0
340,350,0
350,360,0
360,370,0
370,380,0
380,390,0
390,400,0
400,410,0
410,420,0
420,430,0
430,440,0
440,450,0
450,460,0
460,470,0
470,480,0
480,490,0
490,500,0
500,510,0
510,520,0
520,530,0
530,540,0
540,550,0
550,560,0
560,570,0
570,580,0
580,590,0
590,600,0
600,610,0
610,620,0
620,630,0
630,640,0
640,650,1
650,660,1
660,670,0
670,680,0
680,690,0
690,700,0
700,710,0
710,720,0
720,730,0
730,740,1
740,750,2
750,760,0
760,770,0
770,780,0
780,790,0
790,800,2
800,810,3
810,820,49609
820,830,68151
830,840,9800
840,850,9460
850,860,26270
860,870,112892
870,880,116575
880,890,29010
890,900,23738
900,910,66039
910,920,76845
920,930,32118
930,940,25002
940,950,19548
950,960,13631
960,970,12705
970,980,12079
980,990,10343
990,1000,9276
1000,1010,9327
1010,1020,8006
1020,1030,7177
1030,1040,7439
1040,1050,7403
1050,1060,6471
1060,1070,6218
1070,1080,6648
1080,1090,5995
1090,1100,5208
1100,1110,5585
1110,1120,6239
1120,1130,5365
1130,1140,4354
1140,1150,4132
1150,1160,4415
1160,1170,4492
1170,1180,3718
1180,1190,3375
1190,1200,3298
1200,1210,3751
1210,1220,3616
1220,1230,2842
1230,1240,2583
1240,1250,2514
1250,1260,3261
1260,1270,3494
1270,1280,3088
1280,1290,2351
1290,1300,2180
1300,1310,2345
1310,1320,3132
1320,1330,2871
1330,1340,2432
1340,1350,1946
1350,1360,1676
1360,1370,1726
1370,1380,2334
1380,1390,2911
1390,1400,2677
1400,1410,1830
1410,1420,1518
1420,1430,1458
1430,1440,1367
1440,1450,1653
